Greetings,0
Hi,0
Hi there,0
Hola,0
Hello,0
Hello there,0
Hya,0
Hya there,0
Holla,0
Helo,0
Helo there,0
Helloo,0
Helloo there,0
Hey Yo,0
Yo,0
Hey,0
Hey there,0
Heeey,0
"I'm good, thank you.",0
"I'm good as well, thank you.",0
"I'm good as well, thanks.",0
"I'm good, thanks.",0
"I'm great, thanks",0
"I'm great, thank you",0
"I'm alright, thank you",0
"I'm alright, thanks",0
"I am good, thank you.",0
"I am good as well, thank you.",0
"I am good as well, thanks.",0
"I am good, thanks.",0
"I am great, thanks",0
"I am great, thank you",0
"I am alright, thank you",0
"I am alright, thanks",0
"So far, so good, thanks",0
"So far, so good, thank you",0
My name is,0
Call me,0
You can call me,0
How are you?,0
How are you doing?,0
Hope you are doing well?,0
How is life?,0
Hi how are you?,0
Hi how are you doing?,0
Hi hope you are doing well?,0
Hi how is life?,0
Hello how are you?,0
Hello how are you doing?,0
Hello hope you are doing well?,0
Hello how is life?,0
Hola how are you?,0
Hola how are you doing?,0
Hola hope you are doing well?,0
Hola how is life?,0
Hey how are you?,0
Hey how are you doing?,0
Hey hope you are doing well?,0
Hey how is life?,0
Hey yo how are you?,0
Hey yo how are you doing?,0
Hey yo hope you are doing well?,0
Hey yo how is life?,0
What is my name?,1
What do you call me?,1
Who do you think I am?,1
What do you think I am?,1
Who are you talking to?,1
What name do you call me by?,1
Tell me my name,1
Do you still remember my name?,1
What is your name?,1
Your name?,1
What's your name?,1
Who am I talking to?,1
What name are you called by?,1
Tell me your name.,1
What is the time?,1
What's the time?,1
Do you know what time it is?,1
Do you know what time is it?,1
Do you know the time?,1
Can you tell me the time?,1
Could you tell me the time?,1
Tell me what time it is?,1
Tell me what time is it?,1
"Nah, thank you",0
"Nah, thx",0
"Nah, thanks",0
"Nah no need, thank you",0
"Nah no need, thx",0
"Nah no need, thanks",0
"Nope, that's enough, thank you",0
"Nope, that's enough, thx",0
"Nope, that's enough, thanks",0
"That's enough, thank you",0
"That's enough, thx",0
"That's enough, thanks",0
"Enough, thank you",0
"Enough, thanks",0
"Enough, thx",0
Be quiet,0
Shut up,0
Stop talking,0
Enough talking,0
Please be quiet,0
